Stapel,Inzet,Antwoord,Bestemming,Punten
Nieuw,Zilver,goed,Zilver,2
Nieuw,Goud,goed,Goud,10
Nieuw,Platina,goed,Platina,20
Gezien,Zilver,goed,Zilver,0
Gezien,Goud,goed,Goud,5
Gezien,Platina,goed,Platina,10
Zilver,Zilver,goed,Zilver,0
Zilver,Goud,goed,Goud,2
Zilver,Platina,goed,Platina,4
Goud,Goud,goed,Goud,0
Goud,Platina,goed,Platina,2
Platina,Platina,goed,Platina,2
Nieuw,Zilver,fout,Gezien,0
Nieuw,Goud,fout,Gezien,-10
Nieuw,Platina,fout,Gezien,-100
Gezien,Zilver,fout,Gezien,0
Gezien,Goud,fout,Gezien,-10
Gezien,Platina,fout,Gezien,-100
Zilver,Zilver,fout,Gezien,-10
Zilver,Goud,fout,Gezien,-20
Zilver,Platina,fout,Gezien,-100
Goud,Goud,fout,Gezien,-10
Goud,Platina,fout,Gezien,-100
Platina,Platina,fout,Gezien,-250
